12:38:10.411 [main] INFO  Main - Starting application...
12:38:11.504 [JavaFX Application Thread] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: myPU
	...]
12:38:11.601 [JavaFX Application Thread] INFO  org.hibernate.Version - HHH000412: Hibernate Core {4.3.6.Final}
12:38:11.604 [JavaFX Application Thread] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
12:38:11.606 [JavaFX Application Thread] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
12:38:11.932 [JavaFX Application Thread] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
12:38:12.499 [JavaFX Application Thread] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgresPlusDialect
12:38:12.517 [JavaFX Application Thread] INFO  o.h.e.j.internal.LobCreatorBuilder - HHH000424: Disabling contextual LOB creation as createClob() method threw error : java.lang.reflect.InvocationTargetException
12:38:12.787 [JavaFX Application Thread] INFO  o.h.h.i.a.ASTQueryTranslatorFactory - HHH000397: Using ASTQueryTranslatorFactory
12:38:13.477 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.SchemaUpdate - HHH000228: Running hbm2ddl schema update
12:38:13.477 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.SchemaUpdate - HHH000102: Fetching database metadata
12:38:13.488 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.SchemaUpdate - HHH000396: Updating schema
12:38:13.545 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000261: Table found: public.categories
12:38:13.546 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [created, parent_id, name, id]
12:38:13.546 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: [fk_2n3awjv8ah4gl5ca1bq26sori]
12:38:13.546 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [categories_pkey]
12:38:13.582 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000261: Table found: public.contracts
12:38:13.583 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [datetopickup, code, created, totalprice, payoutcontent, renewedcontract, content, daystokeep, dateto, paid, id, datefrom, customer_id, profit, renewedfromcontract, status]
12:38:13.583 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: [fk_1th2ajxr9llw8w4o8hc01ktv4, fk_529pawax05h2bluyn796vpqio, fk_2b1dfmhmwf2x64a9irviapvq2]
12:38:13.583 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [contracts_pkey]
12:38:13.620 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000261: Table found: public.customers
12:38:13.620 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [op, firstname, address, birthdate, code, created, lastname, ico, phone, id, opauthority, dico, email]
12:38:13.620 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: []
12:38:13.620 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [customers_pkey]
12:38:13.649 [JavaFX Application Thread] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000261: Table found: public.options
